k,mean_acc,std_acc
1,0.34043999999999996,0.0020057417580536196
3,0.32355999999999996,0.0027345932055792043
5,0.3327,0.0025308101469687515
7,0.33148,0.002496397404260797
9,0.33352,0.0021902054698132696
11,0.33008000000000004,0.0014113823011501813
13,0.33049999999999996,0.0029891470355270203
15,0.32791999999999993,0.00486692921666218
17,0.32683999999999996,0.0028147824072208573
19,0.32512,0.002575266976451181
21,0.32442000000000004,0.0029235252692597093
23,0.3228,0.0036379939527162557
25,0.32222,0.0030161233396530647
27,0.31951999999999997,0.0028560462181134397
29,0.31826,0.002764597619907816
